phishtank_id,phishtank_url,phishtank_verified,phishtank_online,manual_available,manual_data_harvesting_phishing_confirmed
9380339,https://homepage-ledgre.wixstudio.com/us-en,True,True,False,False
9351203,https://docs.google.com/drawings/d/1b57MVS7NDL9LjXQLWmjYYky3-biyhz8rHvpOxD9ASSM/edit,True,True,True,False
9204313,https://servicesdiners.webcindario.com/,True,True,False,False
9392066,https://netempresa-online.digital/inicio-boas-vindas.php?hash=82060375669db9b00d9d5f3.54103187,True,True,False,False
9425292,https://gov.gr-coms.cfd/grs,True,True,False,False
9425206,https://bafkreienha3wzkpk4fhy7g667m5kb3zygitwmahouwok2jsooaztk6szzy.ipfs.inbrowser.link,True,True,False,False
8842223,https://l.ead.me/bfYEiP,True,True,False,False
8957767,https://docs.google.com/presentation/d/e/2PACX-1vRiBZ14f5YyNrjXtn8UprDraP7PRlcvvC8oD3gf_Keb_np362GZSDbMRKvWCvxbt9-H6johCbRiSeUc/pub?start=true&amp;loop=true&amp;delayms=60000,True,True,True,False
9341620,https://q-r.to/bgcAnu,True,True,False,False
9437700,http://planifier-livraison-relay.com.s3-website.eu-west-3.amazonaws.com/,True,True,False,False
8728611,https://l.ead.me/Dgtes2,True,True,False,False
8456594,https://ipfs.io/ipfs/QmamhFji41Z4gYz9qKHtHMcgkBvQFhvnwHw8bRTXuzwBT1,True,True,False,False
9179604,https://docs.google.com/presentation/d/e/2PACX-1vQsFy8gDLaUfY7Vn3M-Fgu7gHL33sg8eLONZ3iBu4GLRsz8x9wcdnRT5K3gcPqvbxRvDwRxKI2DV5Vu/pub,True,True,True,False
9424969,https://www.dpdlocotd.shop/com,True,True,False,False
8424488,https://respondto.forms.app/roofersnlondon247/bt-voice-note,True,True,False,False
8841295,https://docs.google.com/presentation/d/e/2PACX-1vTPYdrRMhT3u_Vh3_fZkPdHz68x2cEX-UtS2SPXYOjxTBg8clAF_DHOOWj4d9YG1m1oi1vSnzouZXIp/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
9449934,https://en-exdous-ext.wixstudio.com/us-en,True,True,False,False
9408632,http://allegrolokalnie.63493849g0.lol,True,True,False,False
8977486,https://docs.google.com/presentation/d/e/2PACX-1vQpMBWieo8iwxPdcJ-6xAQ3ofhFH-L0jGBdxB0Mp4fAM169PmXNAz4RbCkgW3sCFRPNlsqmN8zfb_bX/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
9435475,https://twrvdexnmfs.ca6a8b74-32ac-45ea-84f0-fb607b8789ab.click/64cde040-2235-45be-a3f6-4dcd6c886dbe.php,True,True,False,False
8397975,https://bn-028l.webcindario.com,True,True,False,False
9440950,https://trzur-suited.wixstudio.com/enus,True,True,False,False
9361920,https://allegrolokalnie.6143897201.click,True,True,False,False
8738351,https://l.ead.me/bfLwIt,True,True,False,False
9334204,https://qrco.de/bgbLvx,True,True,False,False
8467683,https://mgggd.ukit.me/,True,True,False,False
9451300,http://allegrolokalnie.lokalna-ofera239.sbs,True,True,False,False
9374459,https://prestamosficohsa.webcindario.com/inde.html,True,True,False,False
8738335,https://l.ead.me/bfLvSq,True,True,False,False
8719167,https://l.ead.me/bfJNqR,True,True,False,False
8764730,https://q-r.to/bfOux3,True,True,False,False
9395407,https://validardatos1hbd.webcindario.com/,True,True,False,False
8513419,https://docs.google.com/presentation/d/e/2PACX-1vSDHtZtj7UZVSXt-vJkH_BCyUJ7EOAcZl4_lQYTBIMmniNKO0Wghz57zKMrx5ze3HbTCdO4NeXwEMdq/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
8505796,https://new.express.adobe.com/webpage/OfZtMhsCayYiJ,True,True,False,False
9361650,https://q-r.to/bgfFbF,True,True,False,False
9425640,https://portfolio-liveapps.wixstudio.com/us-en,True,True,False,False
8759049,https://q-r.to/bfOBN2,True,True,False,False
9439288,https://surl.li/lusydw,True,True,False,False
9462236,https://clever-direction-723933.framer.app/,True,True,True,True
9186802,https://us5.campaign-archive.com/?u=f44bede2544bc3083f0118632&id=1b07bd3087,True,True,False,False
8500758,https://docs.google.com/presentation/d/e/2PACX-1vR3V6FwlkStTwTGj_qT89ZrQY6VN_Ow4uUMf8gpeMQLXMGdZ8SmHY1MbiLA0LLKxoAcONa6JdoC12Sv/pub?start=false&loop=false&delayms=3000&slide=id.p%3E,True,True,True,False
8130333,https://ipfs.best-practice.se/ipfs/bafybeibphsinyntyembpxoksdmkr4ckdrj6ebs2emqzdkb2epjfivclovq/,True,True,False,False
8491167,https://www.cakeresume.com/accounts-payable,True,True,True,False
9342154,https://23891934-dammelee2304-7cljb.sitebeat.crazydomains.com/,True,True,False,False
9390756,https://pancake-org.created.app/,True,True,False,False
8387220,https://docs.google.com/presentation/d/e/2PACX-1vRzJIXsBAMU94H1OTcRBNe3AR-jTmJ5nJUiYcdqj7l0E3m2Cs8sL14nlwQl76SagV-aOccqB8d_6ZpG/pub?start=true&amp;loop=true&amp;delayms=60000,True,True,True,False
8306065,https://new.express.adobe.com/webpage/BwiDhrH4WusyL,True,True,False,False
8712801,https://q-r.to/bfJ5y5,True,True,False,False
9320727,http://email.brobizz.dk/ls/click?upn=u001.gmxbIK1-2F3fpvjFLuz6jiicbLFv8nJ4LTZNpuhHE-2F0vk-3DMF9H_0SJ4xWp5qdyPRBOfXg8T-2BYrgTdYNCSCpqKvQBrEP2dC2bIHtrLiEg1WGqaut2xxpqI5yQarBZ21uCbqY6lJDBQYc6q8R46QolrtAW-2Bgzm27nPAAImYwFdeOIQWp0XgoXn9cokybikx4jBMmsWCNP0VXOspqDGm2IhvADBxb2svE-2FqRplbVWMBuJU71u9xKGy1XEt77GHMQSfVvRyI5Xn-2BA-3D-3D,True,True,False,False
9303367,https://signincoinbasecom.wixsite.com/en-us,True,True,True,False
9443330,https://bsvtecnology.com/,True,True,True,False
8992683,https://new.express.adobe.com/webpage/jgeZKnBMfz9yL,True,True,False,False
8468226,https://rp.mockplus.com/run/bZJZV6G36Z/XujY3xX0bg/backToHead?cps=hide&dt=iphoneX&ha=0&la=0&nav=0&out=0&rps=hide&rt=0&as=true,True,True,False,False
8428358,https://gouvacad.ukit.me/,True,True,False,False
8895038,https://docs.google.com/presentation/d/e/2PACX-1vTvCwzMEZ1yS-TUqI3pwqNoG4SS7XxR-QP53K4X1jG2GFa4YEasyLCYKvBDqUHquqfXISX9UJYwaYC2/pub?start=true&amp;loop=true&amp;delayms=1000,True,True,True,False
9422688,https://2149lka.sbs/1ul311yx/G0trut/ovlzZZ,True,True,False,False
8034121,https://busdmpuness.firebaseapp.com/,True,True,False,False
9446668,https://apps-pionex.wixstudio.com/us-en,True,True,False,False
9448391,https://shopeemoedor-oficiial.vercel.app/,True,True,False,False
8428715,https://docs.google.com/presentation/d/e/2PACX-1vRHzaZOK9GYTpsL43YMFjkqc3yxrtoNM4Hm_ETHz5PJpwmM6M7ReYXFVUVr5Mx6EquRtiDRIMrKRves/pub?start=false&loop=false&delayms=3000,True,True,False,False
9413475,https://gov-nfqa.help/,True,True,False,False
9179571,https://us11.campaign-archive.com/?u=e25ee51e90d9f21af80a5784b&id=ebb226663f,True,True,False,False
9205606,https://eu.jotform.com/app/252473205639358,True,True,False,False
9176434,https://bafkreib3c563ll5q7ldrmxvhzxzxrvjbcdkmxnzxpgwi4lvkl4xm3oi5xa.ipfs.dweb.link/,True,True,False,False
8725874,https://l.ead.me/bfKLrJ,True,True,False,False
9006183,https://biglobemailservice.weebly.com/,True,True,True,True
9176582,https://bafkreifr6zy62mctuccuqfxrhi5suueyhza35h44qqpm6oq7r3pnb7iur4.ipfs.dweb.link/,True,True,False,False
9002254,https://docs.google.com/presentation/d/e/2PACX-1vQp81qzk7BJHO2dl2ENr438gZU8TiH0B298EtGWn-JXyCz1GUUl8EJwsYJy9pFa2rDGGAxYW9iFtqOx/pub?start=false&loop=false&delayms=3000&slide=id.p,True,True,True,False
8522735,https://docs.google.com/presentation/d/e/2PACX-1vToG2MUGq6Z3XIeNH-ytimyKQatWAKzv2F0r5tAZiMw8cJ8Akx_RR50vMfMAYecAmRBdCEDv7gd3VST/pub?start=false&loop=false&delayms=3000&slide=id.p,True,True,True,False
8493832,https://pouracquisconf-fr.firebaseapp.com/,True,True,False,False
8325784,https://docs.google.com/presentation/d/e/2PACX-1vR4rqC3E2DYWUBB6wEpQrnjPOx_Z-nO21DAKvI4bVa9FGgWhiS9BwHM3STHJJ2RAhxzpXJRbgKQLQWh/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
8760404,https://qrco.de/bfOBuX,True,True,False,False
9345366,https://qrco.de/bgccve,True,True,False,False
9395674,https://njlgnjlgnjd.weebly.com/,True,True,False,False
9425978,https://site-z8xszvozd.godaddysites.com/,True,True,False,False
8937650,https://ztyuilknhchkjkjachdsj-cgxrsyukwejrd6ujmbqwsdc.teemill.com/,True,True,True,False
9020805,https://letfinishthisonceagain.weebly.com/,True,True,True,True
9267752,https://www.schonefoods.com/ar/wp-content/,True,True,False,False
8289475,https://new.express.adobe.com/webpage/8Qzv9WkYHqaLT,True,True,False,False
8759143,https://q-r.to/bfOB7a,True,True,False,False
7983654,https://w-auth-wf.web.app/,True,True,False,False
9200066,https://l.wl.co/l?u=https://qr-codes.io/6IxvyL,True,True,False,False
8836912,https://jhucgajukrvhauskjvuweyi-wgsxjyhjhwcs.teemill.com/,True,True,False,False
9371596,https://sp478949.sitebeat.crazydomains.com/,True,True,False,False
8359942,https://new.express.adobe.com/webpage/fYpy1KDtSOeWd,True,True,False,False
9209588,https://btupdatingf.fibery.io/default/.-9?sharing-key=64032869-bf9b-4b92-9394-959dd3dd7573,True,True,False,False
8876834,https://qrco.de/bfbJD0,True,True,False,False
9385021,https://6.accessbenefitscenter.com/journey?s=f226230a-85dc-4bb3-9711-bb9dfa6ce9fe#back,True,True,True,False
8451431,https://validez-online.webcindario.com/,True,True,False,False
8021995,https://share.ebforms.com/4588856832163840,True,True,False,False
9160261,https://birejip47.m-pages.com/chGZNR/awee,True,True,False,False
9073635,https://docs.google.com/presentation/d/e/2PACX-1vSd4rnfCUYnx3iHxRTYaDJbhsk786gsp_WGEB7pnkiWVOPJPRPxkBSCITfLHJ_Jd6JcD3gO5Q-V4ZWW/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,True,True,True,False
8891993,https://l.ead.me/bfcX05,True,True,False,False
9442124,http://rocket-money-adsense-prelander.pages.dev,True,True,False,False
9217651,https://wmailsignin0000z97jed3.weebly.com/,True,True,True,True
9174415,https://bafkreibnjtfcav5ethnpwnziajlos6wtyjeinretrachxufq6q3vmlkfky.ipfs.dweb.link/,True,True,True,True
9437714,https://5160mrx.ink/txtstyh9/15twRz/sTgWXV,True,True,True,True
9185574,https://bafkreicn47lshmbzmr6ze3b4ayt7brmvnitcfqnqoszitnxthtdkuh7pii.ipfs.dweb.link/,True,True,True,False
8640425,https://wcsakrjpm.firebaseapp.com/,True,True,False,False
9462319,https://aeon.oifmfod.cn/3xlaojj3me,True,True,False,False
8834873,https://docs.google.com/presentation/d/e/2PACX-1vSiKJZmge6XR_rjSloz19Ihcn4pWnLNIFd0GoRmYSA2PjYal-34GCoSlqIkMQtrUPApqE-oTTw4_vpt/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
8625166,https://docs.google.com/presentation/d/e/2PACX-1vRfA97ukPrGfNHaJh8yRiwRjPKuDrjdtOk2si2PLOFw0lLiynvsY2GG7BRaZNF3SFCD2gA960sdAJLU/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
8733529,https://l.ead.me/bfL9gWCEGfvwegwy434gh,True,True,False,False
8796265,https://qrco.de/bfSTVK,True,True,False,False
9413804,https://gov-mcv.help/,True,True,False,False
8759041,https://l.ead.me/bfOPLH,True,True,False,False
8547125,https://docs.google.com/presentation/d/e/2PACX-1vSVBx0OCFhx_N5thG9T4vuETpMutWhJHTCu6jH0yYDBKBk4vLwODVAqKcIKVqgDY1MRIdgD93EDPMMG/pub?start=false&amp;loop=false&amp;delayms=3000,True,True,True,False
9446214,https://klelnanzeigen-deutsch.srvccheckin.icu/getpaymentm/181731722/m9?__cf_chl_rt_tk=uftbbHXZMeI1pdWi1Mw4AiHWVSogcAE4IiV_QPXQmQI-1780836135-1.0.1.1-JPHZ2Psi3rYqx1cuBwuxB3s9Xt5iznJL5W4K1fpbvvU,True,True,False,False
8640463,https://ireflou32.web.app/,True,True,False,False
9429073,https://5wf3tee.top/dujr3da9/p1EErw/Bp42hx,True,True,False,False
8574711,https://docs.google.com/presentation/d/e/2PACX-1vQDZw9NrbHRNhlYpbDMh2TE_rBW44XTUEklQt-bJ0aKi1AXp0NAqZMw993B-iChXBQVfp0CbRzHBX4-/pub?start=false&amp;loop=false&amp;delayms=3000&amp;pli=1&amp;slide=id.p,True,True,True,False
8029572,https://rewhg-mtt3.web.app/,True,True,False,False
8973515,https://freepsn21.weebly.com/,True,True,True,True
8733442,https://qrco.de/bfL9BF,True,True,True,True
9358357,https://webmaishaw08macaf.weebly.com/,True,True,True,True
